10.19.119.179 - - [20/Nov/2025:06:05:24 +0000] "GET /identity/v3/ HTTP/1.1" 200 504 "-" "curl/7.81.0"
10.19.119.179 - - [20/Nov/2025:06:05:33 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:33 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:33 +0000] "GET /identity/v3/auth/tokens HTTP/1.1" 200 1428 "-" "python-keystoneclient"
10.19.119.179 - - [20/Nov/2025:06:05:33 +0000] "GET /identity/v3/projects/c226df76de0c4c58b7aa443ef7591c2f HTTP/1.1" 200 593 "-" "python-keystoneclient"
10.19.119.179 - - [20/Nov/2025:06:05:34 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:34 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:34 +0000] "GET /identity/v3/users/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:34 +0000] "GET /identity/v3/users?name=admin HTTP/1.1" 200 604 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:34 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:34 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:34 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:34 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 591 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:35 +0000] "GET /identity/v3/users/a9a229ad79c44cb081183b5068f64cd4 HTTP/1.1" 200 496 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:35 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:35 +0000] "PUT /identity/v3/domains/default/users/a9a229ad79c44cb081183b5068f64cd4/roles/50c16f06c2d84c5ab5392306511312de HTTP/1.1" 204 201 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:35 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:35 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:35 +0000] "POST /identity/v3/domains HTTP/1.1" 409 442 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:35 +0000] "GET /identity/v3/domains/Default HTTP/1.1" 404 339 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:36 +0000] "GET /identity/v3/domains?name=Default HTTP/1.1" 200 560 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:36 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:36 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:36 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:36 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 591 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:36 +0000] "GET /identity/v3/users/a9a229ad79c44cb081183b5068f64cd4 HTTP/1.1" 200 496 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:36 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:36 +0000] "GET /identity/v3/role_assignments?role.id=50c16f06c2d84c5ab5392306511312de&scope.domain.id=default&user.id=a9a229ad79c44cb081183b5068f64cd4 HTTP/1.1" 200 782 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:37 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:37 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:37 +0000] "GET /identity/v3/domains/Default HTTP/1.1" 404 339 "-" "python-keystoneclient"
10.19.119.179 - - [20/Nov/2025:06:05:37 +0000] "GET /identity/v3/domains?name=Default HTTP/1.1" 200 560 "-" "python-keystoneclient"
10.19.119.179 - - [20/Nov/2025:06:05:37 +0000] "POST /identity/v3/projects HTTP/1.1" 201 555 "-" "python-keystoneclient"
10.19.119.179 - - [20/Nov/2025:06:05:37 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:37 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:37 +0000] "POST /identity/v3/roles HTTP/1.1" 409 392 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:37 +0000] "GET /identity/v3/roles/service HTTP/1.1" 404 337 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:38 +0000] "GET /identity/v3/roles?name=service HTTP/1.1" 200 595 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.179 - - [20/Nov/2025:06:05:38 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.8.0 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
